timestamp,ax,ay,az,label,subject_id
1781611468289,-9984,32767,19316,4,A
1781611468310,-2372,21060,13576,4,A
1781611468331,-1900,13604,6824,4,A
1781611468353,3304,3844,-5380,4,A
1781611468375,4916,-1788,-19076,4,A
1781611468396,7632,-1992,-17256,4,A
1781611468418,6608,-2096,-16376,4,A
1781611468439,2912,324,-13096,4,A
1781611468462,-1496,5468,-7048,4,A
1781611468482,-6404,11064,4188,4,A
1781611468505,-12912,32767,28892,4,A
1781611468527,-20276,32767,29920,4,A
1781611468547,-5780,32767,20056,4,A
1781611468570,488,20056,11612,4,A
1781611468591,2252,11252,4916,4,A
1781611468612,1652,6632,-5240,4,A
1781611468634,1472,1712,-14900,4,A
1781611468655,1228,192,-16524,4,A
1781611468677,328,1064,-14244,4,A
1781611468699,808,768,-12196,4,A
1781611468721,872,-484,-7052,4,A
1781611468741,-5348,11964,10376,4,A
1781611468764,-18808,32767,27824,4,A
1781611468785,-23692,32767,8460,4,A
1781611468807,-3472,30784,17704,4,A
1781611468828,-3752,22528,11364,4,A
1781611468850,-624,13388,4300,4,A
1781611468872,3648,5960,-5760,4,A
1781611468893,3224,-456,-16736,4,A
1781611468915,3156,-1636,-17528,4,A
1781611468936,-424,3596,-15396,4,A
1781611468958,-56,3444,-13036,4,A
1781611468979,1768,744,-9388,4,A
1781611469001,252,5852,6412,4,A
1781611469023,-17008,32767,24108,4,A
1781611469045,-27108,32767,20712,4,A
1781611469066,-9656,32767,16824,4,A
1781611469087,-1592,22396,12992,4,A
1781611469109,184,13504,5348,4,A
1781611469131,2944,5008,-1864,4,A
1781611469152,1508,2588,-8836,4,A
1781611469174,1468,-2892,-19276,4,A
1781611469196,1196,-2804,-18944,4,A
1781611469217,64,1392,-12208,4,A
1781611469239,320,1332,-7856,4,A
1781611469259,-3360,4528,-3152,4,A
1781611469282,-17736,29064,13712,4,A
1781611469303,-28688,32767,21172,4,A
1781611469325,-10148,32767,19500,4,A
1781611469347,-748,24136,13420,4,A
1781611469368,1740,16624,8828,4,A
1781611469389,1876,10108,2264,4,A
1781611469412,1740,6164,-4836,4,A
1781611469433,764,844,-15540,4,A
1781611469455,-240,-940,-20308,4,A
1781611469476,-40,660,-17876,4,A
1781611469498,2000,912,-11312,4,A
1781611469519,112,2908,-4956,4,A
1781611469542,-9468,14288,6292,4,A
1781611469563,-22184,32767,23212,4,A
1781611469585,-17340,32767,20032,4,A
1781611469606,-1900,30220,18136,4,A
1781611469627,16,20216,11868,4,A
1781611469649,1328,12028,4820,4,A
1781611469671,160,8436,-2960,4,A
1781611469692,-472,2992,-12688,4,A
1781611469714,-900,-660,-22580,4,A
1781611469735,184,412,-19168,4,A
1781611469757,2508,2020,-12200,4,A
1781611469779,2408,1352,-7844,4,A
1781611469800,-1660,5012,2664,4,A
